# Dense fuzzy physics-membership μ — MiniLM cosine to the 'Physics' anchor (NO training).
# model: sentence-transformers/all-MiniLM-L6-v2; clamp: to_membership (cosine∈[-1,1] → μ∈[0,1]); names verbatim from the category graph.
# Provenance: gen_dense_mu.py over data/benchmark/10k/category_parent.tsv. A raw pretrained-embedding prior (coarse semantic proximity), NOT the trained cosine-μ
# encoder and NOT authoritative — its job is DENSITY (a μ for every node) so the gated cone / IC / Lin machinery stops pruning through unscored connectors.
# Format: name<TAB>μ, μ∈[0,1]. '#' lines are comments.
Establishments_by_century_and_country	0.0028
15th-century_establishments_in_England	0.0000
15th_century_in_England	0.0574
Establishments_in_England_by_century	0.0000
2nd-millennium_establishments_in_England	0.0000
15th_century_in_Europe	0.0554
Establishments_in_Europe_by_century	0.0000
2nd-millennium_establishments_in_Europe	0.0000
Centuries_in_France	0.0741
Kingdom_of_France	0.0487
1600s	0.1650
17th_century	0.1092
1600s_deaths	0.0752
17th-century_deaths	0.0319
1600s_endings	0.0965
1604	0.1428
Years_of_the_17th_century	0.0614
1604_deaths	0.0696
1650s	0.1296
1650s_establishments	0.0045
17th-century_establishments	0.0181
1650s_establishments_by_continent	0.0000
17th-century_establishments_by_continent	0.0000
1650s_by_continent	0.0788
1650s_establishments_in_Europe	0.0000
1650s_in_Europe	0.0274
17th-century_establishments_in_Europe	0.0000
17th_century_in_Europe	0.0451
1680s	0.1070
1690s	0.0716
1699	0.0739
16th-century_people	0.0830
16th-century_establishments_by_country	0.0000
16th_century_by_country	0.0476
2nd-millennium_establishments_by_country	0.0057
16th-century_establishments_in_Asia	0.0062
16th_century_in_Asia	0.0458
Establishments_in_Asia_by_century	0.0077
2nd-millennium_establishments_in_Asia	0.0173
16th-century_establishments_in_India	0.0000
16th_century_in_India	0.0433
Establishments_in_India_by_century	0.0000
2nd-millennium_establishments_in_India	0.0000
16th_century_in_North_America	0.0000
Establishments_in_North_America_by_century	0.0000
Centuries_in_Asia	0.0841
2nd_millennium_in_Asia	0.1049
Centuries_in_India	0.0797
1710s	0.1717
18th_century	0.1166
1720s	0.0295
1720s_establishments	0.0000
18th-century_establishments	0.0216
1728	0.1995
Years_of_the_18th_century	0.0595
1728_establishments	0.0074
1730s	0.0774
1730s_births	0.0323
18th-century_births	0.0956
1730s_beginnings	0.0000
1738	0.0991
1738_births	0.0271
1760s	0.1079
1760s_establishments	0.0000
1760s_establishments_by_continent	0.0000
18th-century_establishments_by_continent	0.0000
1760s_by_continent	0.0332
1760s_establishments_by_country	0.0000
18th-century_establishments_by_country	0.0000
1760s_by_country	0.0160
Establishments_by_decade_and_country	0.0313
1760s_establishments_in_North_America	0.0000
18th-century_establishments_in_North_America	0.0000
1760s_in_North_America	0.0000
1760s_establishments_in_North_Carolina	0.0000
1760s_establishments_in_the_Thirteen_Colonies	0.0000
18th-century_establishments_in_North_Carolina	0.0000
Establishments_in_North_Carolina_by_decade	0.0000
1760s_in_the_Thirteen_Colonies	0.0000
18th-century_establishments_in_the_Thirteen_Colonies	0.0000
Establishments_in_the_Thirteen_Colonies_by_decade	0.0000
1760s_establishments_in_the_British_Empire	0.0000
18th_century_in_the_Thirteen_Colonies	0.0000
Decades_in_the_Thirteen_Colonies	0.0283
1760s_in_the_British_Empire	0.0000
1780s	0.1420
1788	0.1302
1790s	0.1490
1790s_establishments	0.0586
1790s_operas	0.0000
1790s_works	0.1273
18th-century_operas	0.0000
Operas_by_decade	0.0000
18th-century_works	0.1001
Works_by_decade	0.1349
1798	0.1824
1798_establishments	0.0517
17th-century_people	0.0872
17th_century_by_continent	0.0407
17th-century_establishments_by_country	0.0000
17th_century_by_country	0.0569
17th-century_establishments_in_Mexico	0.0000
17th_century_in_Mexico	0.0179
17th-century_establishments_in_North_America	0.0000
17th-century_establishments_in_New_Spain	0.0000
Establishments_in_Mexico_by_century	0.0000
2nd-millennium_establishments_in_Mexico	0.0000
17th-century_establishments_in_the_Spanish_Empire	0.0000
Establishments_in_New_Spain_by_century	0.0000
17th_century_in_New_Spain	0.0112
17th_century_in_North_America	0.0000
Establishments_in_the_Spanish_Empire_by_century	0.0000
17th-century_establishments_in_Spain	0.0000
17th_century_in_the_Spanish_Empire	0.0000
Centuries_in_North_America	0.0393
2nd_millennium_in_North_America	0.0617
17th_century_in_the_Thirteen_Colonies	0.0000
Centuries_in_the_United_States	0.0633
2nd_millennium_in_the_United_States	0.0882
Centuries_in_the_Thirteen_Colonies	0.0014
17th_century_in_the_British_Empire	0.0135
1810s	0.1737
19th_century	0.1533
1810s_by_continent	0.0980
19th_century_by_continent	0.0723
1810s_by_country	0.0905
19th-century_decades_by_country	0.1185
1810s_establishments	0.0564
19th-century_establishments	0.0524
1810s_establishments_by_continent	0.0199
19th-century_establishments_by_continent	0.0000
1810s_establishments_by_country	0.0242
19th-century_establishments_by_country	0.0116
1810s_establishments_in_Louisiana	0.0000
1810s_establishments_in_the_United_States	0.0045
19th-century_establishments_in_Louisiana	0.0000
Establishments_in_Louisiana_by_decade	0.0000
